Player,School,POS,ATT,YDS,AVG,LNG,TD
Durell Robinson,CLT,['RB'],['40'],['166'],['4.2'],['16'],['1']
Seth Henigan,MEM,['QB'],['61'],['165'],['2.7'],['24'],['3']
Bert Emanuel Jr.,CMU,['QB'],['42'],['165'],['3.9'],['66'],['2']
Camar Wheaton,SMU,['RB'],['39'],['164'],['4.2'],['11'],['2']
CJ Beasley,CCU,['RB'],['39'],['162'],['4.2'],['21'],['1']
Tanner Mordecai,WIS,['QB'],['51'],['161'],['3.2'],['18'],['4']
Dylan Downing,PUR,['RB'],['41'],['161'],['3.9'],['25'],['1']
Josh Williams,LSU,['RB'],['19'],['161'],['8.5'],['41'],['2']
Devontae Houston,CONN,['RB'],['34'],['161'],['4.7'],['27'],['0']
Sam Scott,WYO,['RB'],['34'],['161'],['4.7'],['19'],['1']
Maquel Haywood,APP,['RB'],['41'],['161'],['3.9'],['20'],['0']
John Rhys Plumlee,UCF,['QB'],['28'],['159'],['5.7'],['32'],['2']
Justin Lamson,STAN,['QB'],['68'],['159'],['2.3'],['15'],['2']
Maurice Turner,LOU,['RB'],['31'],['159'],['5.1'],['30'],['1']
Miyan Williams,OSU,['RB'],['49'],['158'],['3.2'],['12'],['3']
Jaden Nixon,OKST,['RB'],['32'],['158'],['4.9'],['34'],['1']
Devon Dampier,UNM,['QB'],['19'],['157'],['8.3'],['37'],['1']
Jeff Sims,NEB,['QB'],['30'],['156'],['5.2'],['57'],['1']
Josh McCray,ILL,['RB'],['43'],['156'],['3.6'],['14'],['2']
Ron Wiggins,JVST,['RB'],['28'],['156'],['5.6'],['22'],['2']
Dylan Carson,AFA,['RB'],['25'],['156'],['6.2'],['29'],['0']
Joey Aguilar,APP,['QB'],['39'],['156'],['4.0'],['25'],['2']
DeCarlos Brooks,ASU,['RB'],['31'],['153'],['4.9'],['17'],['0']
